md5,url,cluster
44aaa631e3b37d7b655faa6c0d78af8f,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/31/4/859157123406474.mp4,2
e4b639f9fef2e86d458b5f4f9dcf7215,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2026/01/05/9/9773036696153449.mp4,10
a594090af4b70ceb71c18061fced0bca,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/4/836567585833594.mp4,1
2c98e25edcdd41ca2ea2cc6cccdcc6e2,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/6/732133293247046.mp4,6
5ed22a940c7106b2e682281c079b4b67,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/27/7/759295027186767.mp4,18
8df29bd711694a353e7596822c566733,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/31/2/1273224231279742.mp4,2
d4b74ef8d9cf937db3871918aea53230,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/8/2112666659269048.mp4,1
00943e99ed5c2fcabadc6c24c15b10b0,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/23/3/677360938660633.mp4,3
4e50cb34aec382fdcb8fc2b6903ff145,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/0/1217225116936530.mp4,7
4681458f85f8a35d0b77b3ec466cb270,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/23/8/721567507264778.mp4,3
104418ff2f04e88f31081c64b055f5d7,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2026/01/05/9/889626803758989.mp4,23
0c673d687a98da83b5544f63abb9eb8e,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/29/3/3003582199838933.mp4,9
2a07fe62fda3ad91b16818c2eb34556a,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2026/01/06/4/3783016221994604.mp4,49
82743153760f51c79b9987ddff87228c,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/30/4/852396910913914.mp4,63
c90181bb30024f6c1489a4e2191df2c1,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/1/746988368411361.mp4,1
41398b0441d2d364db6e3ff6152f6df2,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/29/6/1418871569667296.mp4,3
b6fe670ff4edb6ce2f26450af88a5bd9,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/21/7/1119453683455327.mp4,4
15e4d07b19009eb5d6362a18fab15f39,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/6/666775689847346.mp4,1
60553a2b80510bf2a14659385cbfc3fc,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/31/2/2062814437852122.mp4,5
a9ce4ba62939b00c9c7e7bf0ecc1a87c,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/23/3/840023188668143.mp4,3
891698ba4c12cfdbd50f333b05a5b920,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/23/3/864979456500253.mp4,3
f09b02b3ee8ad19faaacaccd468a44ee,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/31/7/1229041206009067.mp4,5
8702f6b234ec9de40ab5101a2b2f3634,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/24/8/1395907642248918.mp4,1
203771b6208097d47e8a9f88c936e063,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/8/786034164481888.mp4,1
f8e2b517527975792de98633e7bfcd02,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/27/9/835152769284549.mp4,15
39278ffef61a226e9f304b8d8ff9af72,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/31/4/1952160915363914.mp4,50
85f809a60a199d913e8753c1f4066fad,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/0/739597739209230.mp4,1
5e8c592cdc5ab243e15ad3d805d879e4,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/31/9/1423491279140539.mp4,59
0a92510a978e5e782b13b238adf8eaf9,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/31/5/2024943338298695.mp4,5
f7204d85b8931a77f5e1a9691d22e2cf,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/31/4/708211012142544.mp4,86
c9ad029c842fcb0b0cf09f88673f908a,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/4/1164347352514354.mp4,22
e4e8108afa65ba1ec6349dd8e0707c93,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/31/4/1426673672423934.mp4,2
f8c97dc777a64d6a66035e55b0cf1e7a,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/13/8/840027798650828.mp4,30
ec62e33655e9ebc98374d947afac3ecd,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/19/2/1360591472418412.mp4,10
bbfa7671f628d17fdcd69230a668c4bc,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2026/01/05/5/1280091427197265.mp4,73
cba8d814861be82b5b8094b8336384b6,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/9/1510667426705639.mp4,7
44a80dc38556e1036706d216fdabd6a1,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/1/2054682015297301.mp4,1
53794e733979c94968ec5c7476f3480b,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/7/1296043768944517.mp4,1
